ID,Min_CO2(g/kg.DM),Max_CO2(g/kg.DM),Min_CH4(g/kg.DM),Max_CH4(g/kg.DM),Direct_Labour(people/1000t.DM)
AD-1,132,230,71,125,14
AD-2,923,1054,502,574,0.16
AD-3,557,642,300,352,0.16
APR,7.92,11.9,0,0,0.17
BIGCC,1540,1670,0,0,0.13
But-Ligno,1346,1488,0,0,0.89
But-Starch,340,353,0,0,1.31
But-to-Jet,0,0,0,0,0.5
CBP-Chipping,28,32,0,0,1.05
CBP-Pelleting,437,483,0,0,0.6
CFP-UP,216,325,0,0,0.61
COMB-CHP,1540,1667,0,0,0.07
COMB-EL,860,1052,0,0,0.13
COMB-IC,1300,1800,0,0,0.07
COMB-Tri,1300,1800,0,0,0.07
Eth-Ligno,1102,1289,0,0,0.77
Eth-Molasses,404,421,0,0,0.61
Eth-Starch,442,460,0,0,1.09
Eth-Sugar,404,421,0,0,0.61
Eth-to-Jet,0,0,0,0,0.5
Ferm-Hydro,904,941,0,0,1.37
Ferm-Hydro-Jet,912,950,0,0,1.48
FFA-to-Jet,9712,10734,0,0,0.89
HEFA-1,58,60,0,0,0.54
HPy,510,790,0,0,0.14
HTL,8,12,0,0,0.25
Lip-to-Jet,9712,10734,0,0,0.95
But-Molasses,604,628,0,0,0.75
Org-acid-to-Jet,820,864,0,0,1.19
PY-EL,43,65,0,0.14,0.57
PY-Fast,126,189,0,0,0.61
PY-FT-Central,1094,1197,0,0.14,1.1
PY-FT-Disperse,1094,1197,0,0.14,6.8
S2D-Hyd,1447,1599,0,0,0.71
Sep-Cat,1226,1332,0,0,1.19
Small-FT-Jet_(HT),1051,1132,0,0,0.66
Small-FT-Road_(HT),1051,1132,0,0,0.66
Syn-Cat,1242,1292,0,0,0.5
Syn-Fer,1190,1322,0,0,0.48
Syn-FT-Jet_(HT),1051,1132,0,0,0.23
Syn-FT-Jet_(LT),1048,1216,0,0,0.23
Syn-FT-Road_(HT),1051,1132,0,0,0.23
Syn-FT-Road_(LT),1048,1216,0,0,0.23
Syn-Prd_(1),0,0,0,0,1.21
Syn-Prd_(2),0,0,0,0,0.45
Syn-Prd_(3),0,0,0,0,0.2
TORR-1,0,0,0,0,0.25
TORR-2,0,0,0,0,0.31
TRANS-1,0,0,0,0,1
TRANS-2,0,0,0,0,0.6
