ID,Prod_id,Efficiency,lifespan_years,capacity1,capacity2,capacity3,capex1,capex2,capex3,opex1,opex2,opex3
APR,Alkanes,40,20,181000,362000,700000,26337.06488,21511.84386,17716.4796,4981.220854,4068.609988,3350.77952
Ferm-Hydro,BioDiesel,44,20,30000,100000,500000,10191.91066,6296.571076,3307.623801,6779.72082,4346.988583,2981.378312
TRANS-1,BioDiesel,95,20,10000,40000,80000,3793.181741,2178.610813,1651.078251,6051.219494,2516.916737,1702.742531
TRANS-2,BioDiesel,93,20,20000,100000,200000,4431.058824,2326.823529,1763.882353,5512.010787,3648.388859,3290.025447
AD-1,Biogas,21,20,2.5,4.9,9.9,2118.543882,1485.390205,1076.369714,211.8543882,148.5390205,107.6369714
AD-2,Biogas,79,20,4122,8244,16488,4954.483807,4046.771444,3288.15482,272.4966094,222.5724295,180.848515
AD-3,Biogas,38,20,5025,10050,20100,3801.00698,3146.714907,2609.18593,476.8198738,385.4045984,310.3030322
CFP-UP,biogas,44,20,164250,328500,657000,14916.50161,12448.78401,10301.54772,3397.976733,2835.83105,2346.690959
PY-Fast,Biogas,37,20,164250,328500,657000,17157.19142,13002.71963,9854.218775,2779.347966,2106.351878,1596.316219
But-Ligno,Butanol,43,20,80000,200000,1000000,38641.45564,26784.12571,14069.85017,2098.266662,3201.580498,2291.700501
But-Starch,Butanol,19,20,30000,100000,500000,24987.1856,15437.10451,8109.196846,7512.102145,3473.257222,1358.052726
BIGCC,Electricity,46,20,59327.1,103937.4,247459,5885.682748,4824.659826,4781.643994,394.5181384,297.9400564,269.8080576
COMB-CHP,Electricity,65,20,43964.38771,319302,3193020,9046.429256,2744.698901,1092.684313,677.0203013,841.1039713,334.8495221
COMB-EL,Electricity,30,20,69967,349836,3488361,11813.14708,6205.511854,2470.458766,590.6573542,310.2755926,123.5229383
COMB-IC,Electricity,75,20,13000,27000,40000,29721.35513,22187.09496,16848.32524,3343.652452,2496.048183,2340.045172
COMB-Tri,Electricity,64,20,225.411725,2254.11725,11270.58625,19604.908,7804.854454,4099.933447,817.1421025,325.3101303,170.8872204
TORR-1,Electricity,87,20,19200,72000,288000,2032.313216,1277.593773,929.3371334,443.8300719,279.0094221,202.9548219
TORR-2,Electricity,70,20,100000,200000,500000,2991.896471,2435.710588,1848.838588,239.3517176,194.8568471,147.9070871
Eth-Ligno,Ethanol,42,20,80000,200000,1000000,19890.7935,13787.20094,7242.493323,6435.3028,4594.331649,3019.719991
Eth-Starch,Ethanol,30,20,30000,100000,500000,18181.65611,11232.64261,5900.569625,8374.219072,5462.772012,3228.778912
Eth-Sugar ,Ethanol,21,20,30000,100000,500000,39412.8614,24349.2993,12790.82232,8996.388037,4744.829926,2134.985216
Sep-Cat,Ethanol,41,20,80000,200000,1000000,39137.35721,27127.85732,14250.4143,9543.150272,6940.235503,4385.692063
Syn-Cat,Ethanol,52,20,80000,400000,1200000,35586.71274,18693.89809,12046.23605,7325.164708,3731.919497,2388.432504
Syn-Fer,Ethanol,31,20,80000,200000,1000000,25093.14464,17393.1838,9136.736174,5969.74807,3679.989351,1985.478606
S2D-Hyd,Transport_Fuels,49,20,80000,400000,1200000,13317.33356,6995.669372,4507.967474,4271.770805,2067.789019,1442.035487
Small-FT-Road_HT,Transport_Fuels,54,20,80000,300000,650000,22233.04186,13103.4718,9617.662609,5861.890249,3272.403821,2459.35568
Syn-FT-Road_HT,Transport_Fuels,50,20,400000,1200000,3000000,13963.5965,8998.058011,6235.527684,3341.537122,2275.049286,1725.712304
Syn-FT-Road_LT,Transport_Fuels,43,20,400000,1200000,3000000,11493.11404,7406.093903,5132.31894,2873.380418,1965.201589,1503.938322
But-to-Jet,Jet-Fuel,80,20,40000,100000,500000,21346.78203,14796.41188,7772.637443,5227.954782,3633.66374,2147.225272
Eth-to-Jet,Jet-Fuel,90,20,40000,100000,500000,20627.10434,14297.57099,7510.593553,5260.42216,3705.925911,2262.15826
Ferm-Hydro-Jet,Jet-Fuel,35,20,30000,100000,500000,22010.80964,13598.29692,7143.260987,7837.690251,4590.963415,2600.763971
FFA-to-Jet,Jet-Fuel,17,20,80000,200000,1000000,38499.98002,26686.06261,14018.33709,8263.297338,5364.759469,2671.544687
HEFA-1,Jet-Fuel,47,20,100000,200000,500000,18724.07733,15094.70464,11433.22207,7220.40685,5946.244584,4914.355839
Lip-to-Jet,Jet-Fuel,21,20,80000,200000,1000000,36184.62436,25704.50046,14761.99784,7384.378407,4785.631333,2799.57832
Org-acid-to-Jet,Jet-Fuel,59,20,80000,200000,1000000,11752.20782,8145.982249,4279.129774,4858.174425,3177.905604,1931.537736
Small-FT-Jet_HT,Jet-Fuel,55,20,80000,300000,650000,22233.04186,13103.4718,9617.662609,5498.268456,2908.782027,2095.733887
Syn-FT-Jet_HT,Jet-Fuel,55,20,400000,1200000,3000000,13963.5965,8998.058011,6235.527684,3010.746768,1944.258932,1394.921949
Syn-FT-Jet_LT,Jet-Fuel,44,20,400000,1200000,3000000,11493.11404,7406.093903,5132.31894,2784.419798,1587.338186,1039.370974
PY-EL,Liquid_Bio-oil,60,20,37500,75000,150000,7764.705882,5884.546671,4459.652437,390.5160125,295.9557948,224.2925506
HPy,Transport_Fuels,70,20,164250,328500,657000,7591.126602,5752.998174,4359.95732,463.6403187,351.373656,266.2914356
HTL,Liquid_Fuels,54,20,199728,399456,798912,18018.25973,13655.28739,10348.77265,2902.177712,2199.439418,1666.863382
But-Molasses,NA,NA,20,30000,100000,500000,22834.6019,14107.23648,7410.609768,6787.473899,4322.633195,2810.014393
Eth-Molasses,NA,NA,20,30000,100000,500000,16506.64418,10197.81882,5356.970934,6853.899184,4179.944632,2780.616683
PY-FT-Central,Transport_Fuels,36,20,713461.5385,6237692.308,11660000,50179.43106,20830.71979,16031.51388,1147.197015,549.9571472,446.5599089
PY-FT-Disperse,Transport_Fuels,36,20,713461.5385,6237692.308,11660000,50179.43106,20830.71979,16031.51388,8143.327491,8145.395795,8145.466667
CBP-Pelleting,pellets,81,15,24000,48000,84000,2658.428481,1887.654644,1427.78573,1383.628752,1088.465369,917.1334919
Syn-Prd_1,Syngas,63,20,11497.5,22995,34492.5,565.1603961,428.3114875,364.1859768,3780.160891,2376.854989,1858.394265
Syn-Prd_2,Syngas,70,20,34492.5,86231.25,137970,863.0242685,626.7782229,519.3568997,2339.885768,1562.187556,1288.565727
Syn-Prd_3,Syngas,71,20,183303,244404,305505,615.5590778,548.6485625,501.7995188,1752.414069,1563.516438,1435.764251
CBP-Chipping,wood_chips,93,10,500,2786,70000,200.6419461,128.0185998,37.16143865,0,0,0
